source_root,run_name,split,checkpoint,infer_id,duplicate_rank,duplicate_count,run_dir,metrics_path,modified_time,build.retrieval.top_k,build.retrieval.mmr_lambda,build.retrieval.selection_method,sensitivity.theta_s,sensitivity.theta_r,sensitivity.lambda_low,sensitivity.gating_mode,num_samples,accuracy,macro_precision,macro_recall,macro_f1,parse_error_rate,per_class.pants-fire.precision,per_class.pants-fire.recall,per_class.pants-fire.f1,per_class.false.precision,per_class.false.recall,per_class.false.f1,per_class.barely-true.precision,per_class.barely-true.recall,per_class.barely-true.f1,per_class.half-true.precision,per_class.half-true.recall,per_class.half-true.f1,per_class.mostly-true.precision,per_class.mostly-true.recall,per_class.mostly-true.f1,per_class.true.precision,per_class.true.recall,per_class.true.f1
b3_mmr_topk_sweep_1024,"build.retrieval.mmr_lambda-0.7,build.retrieval.top_k-0__826481ae",test,best,79d8b34809bb,1,1,"/home/fenglin/project/fact-checking/outputs/runs/b3_mmr_topk_sweep_1024/build.retrieval.mmr_lambda-0.7,build.retrieval.top_k-0__826481ae","/home/fenglin/project/fact-checking/outputs/runs/b3_mmr_topk_sweep_1024/build.retrieval.mmr_lambda-0.7,build.retrieval.top_k-0__826481ae/infer/test/best/79d8b34809bb/api/metrics.json",2026-05-13T09:47:09,0,0.7,,,,,,1251,0.265387689848,0.238921534978,0.271380912525,0.207291624831,0,0.242424242424,0.372093023256,0.293577981651,0.250684931507,0.734939759036,0.373850868233,0.142857142857,0.0047619047619,0.00921658986169,0.276729559748,0.167300380228,0.208530805687,0.1875,0.0126050420168,0.023622047244,0.333333333333,0.336585365854,0.33495145631
b3_mmr_topk_sweep_1024,"build.retrieval.mmr_lambda-0.7,build.retrieval.top_k-1__d9ea37d1",test,best,79d8b34809bb,1,1,"/home/fenglin/project/fact-checking/outputs/runs/b3_mmr_topk_sweep_1024/build.retrieval.mmr_lambda-0.7,build.retrieval.top_k-1__d9ea37d1","/home/fenglin/project/fact-checking/outputs/runs/b3_mmr_topk_sweep_1024/build.retrieval.mmr_lambda-0.7,build.retrieval.top_k-1__d9ea37d1/infer/test/best/79d8b34809bb/api/metrics.json",2026-05-13T09:47:10,1,0.7,,,,,,1251,0.275779376499,0.276069430855,0.276876963743,0.266730448869,0,0.280373831776,0.348837209302,0.310880829015,0.292307692308,0.457831325301,0.356807511737,0.196721311475,0.114285714286,0.144578313253,0.258566978193,0.315589353612,0.284246575342,0.261780104712,0.210084033613,0.2331002331,0.366666666667,0.214634146341,0.270769230769
b3_mmr_topk_sweep_1024,"build.retrieval.mmr_lambda-0.7,build.retrieval.top_k-2__14d66b72",test,best,79d8b34809bb,1,1,"/home/fenglin/project/fact-checking/outputs/runs/b3_mmr_topk_sweep_1024/build.retrieval.mmr_lambda-0.7,build.retrieval.top_k-2__14d66b72","/home/fenglin/project/fact-checking/outputs/runs/b3_mmr_topk_sweep_1024/build.retrieval.mmr_lambda-0.7,build.retrieval.top_k-2__14d66b72/infer/test/best/79d8b34809bb/api/metrics.json",2026-05-13T09:47:10,2,0.7,,,,,,1251,0.270183852918,0.272108124067,0.287341880373,0.273158577956,0,0.298507462687,0.46511627907,0.363636363636,0.291176470588,0.397590361446,0.336162988115,0.178403755869,0.180952380952,0.179669030732,0.273913043478,0.239543726236,0.255578093306,0.283505154639,0.231092436975,0.254629629629,0.307142857143,0.209756097561,0.249275362318
b3_mmr_topk_sweep_1024,"build.retrieval.mmr_lambda-0.7,build.retrieval.top_k-3__764bfb33",test,best,79d8b34809bb,1,1,"/home/fenglin/project/fact-checking/outputs/runs/b3_mmr_topk_sweep_1024/build.retrieval.mmr_lambda-0.7,build.retrieval.top_k-3__764bfb33","/home/fenglin/project/fact-checking/outputs/runs/b3_mmr_topk_sweep_1024/build.retrieval.mmr_lambda-0.7,build.retrieval.top_k-3__764bfb33/infer/test/best/79d8b34809bb/api/metrics.json",2026-05-13T09:47:10,3,0.7,,,,,,1251,0.270983213429,0.282549538285,0.282635570845,0.277109970951,0,0.289473684211,0.383720930233,0.33,0.325688073394,0.285140562249,0.304068522483,0.195046439628,0.3,0.236397748592,0.269090909091,0.281368821293,0.275092936802,0.275862068966,0.201680672269,0.233009708737,0.340136054422,0.243902439024,0.28409090909
b3_mmr_topk_sweep_1024,"build.retrieval.mmr_lambda-0.7,build.retrieval.top_k-4__3c6ef0b3",test,best,79d8b34809bb,1,1,"/home/fenglin/project/fact-checking/outputs/runs/b3_mmr_topk_sweep_1024/build.retrieval.mmr_lambda-0.7,build.retrieval.top_k-4__3c6ef0b3","/home/fenglin/project/fact-checking/outputs/runs/b3_mmr_topk_sweep_1024/build.retrieval.mmr_lambda-0.7,build.retrieval.top_k-4__3c6ef0b3/infer/test/best/79d8b34809bb/api/metrics.json",2026-05-13T09:47:10,4,0.7,,,,,,1251,0.270983213429,0.287828214901,0.278135568725,0.272898449318,0,0.307692307692,0.372093023256,0.336842105263,0.297101449275,0.329317269076,0.31238095238,0.192028985507,0.252380952381,0.218106995884,0.275590551181,0.266159695817,0.27079303675,0.274809160305,0.302521008403,0.288,0.379746835443,0.146341463415,0.211267605633
b3_mmr_topk_sweep_1024,"build.retrieval.mmr_lambda-0.7,build.retrieval.top_k-5__b23a0bbe",test,best,79d8b34809bb,1,1,"/home/fenglin/project/fact-checking/outputs/runs/b3_mmr_topk_sweep_1024/build.retrieval.mmr_lambda-0.7,build.retrieval.top_k-5__b23a0bbe","/home/fenglin/project/fact-checking/outputs/runs/b3_mmr_topk_sweep_1024/build.retrieval.mmr_lambda-0.7,build.retrieval.top_k-5__b23a0bbe/infer/test/best/79d8b34809bb/api/metrics.json",2026-05-13T09:47:10,5,0.7,,,,,,1251,0.270183852918,0.281320068591,0.284368374867,0.276910921229,0,0.27868852459,0.395348837209,0.326923076923,0.32380952381,0.273092369478,0.296296296296,0.19512195122,0.304761904762,0.237918215613,0.264367816092,0.262357414449,0.263358778625,0.278106508876,0.197478991597,0.230958230958,0.347826086957,0.273170731707,0.306010928961
b3_mmr_topk_sweep_1024,"build.retrieval.mmr_lambda-0.7,build.retrieval.top_k-6__b9900ce8",test,best,79d8b34809bb,1,1,"/home/fenglin/project/fact-checking/outputs/runs/b3_mmr_topk_sweep_1024/build.retrieval.mmr_lambda-0.7,build.retrieval.top_k-6__b9900ce8","/home/fenglin/project/fact-checking/outputs/runs/b3_mmr_topk_sweep_1024/build.retrieval.mmr_lambda-0.7,build.retrieval.top_k-6__b9900ce8/infer/test/best/79d8b34809bb/api/metrics.json",2026-05-13T10:06:59,6,0.7,,,,,,1251,0.268585131894,0.282078870595,0.277226930435,0.274636776156,0,0.30303030303,0.348837209302,0.324324324324,0.316239316239,0.29718875502,0.306418219461,0.19512195122,0.304761904762,0.237918215613,0.260714285714,0.277566539924,0.268876611418,0.259259259259,0.176470588235,0.21,0.358108108108,0.258536585366,0.300283286118
b3_mmr_topk_sweep_1024,"build.retrieval.mmr_lambda-0.7,build.retrieval.top_k-7__5b686e8c",test,best,79d8b34809bb,1,1,"/home/fenglin/project/fact-checking/outputs/runs/b3_mmr_topk_sweep_1024/build.retrieval.mmr_lambda-0.7,build.retrieval.top_k-7__5b686e8c","/home/fenglin/project/fact-checking/outputs/runs/b3_mmr_topk_sweep_1024/build.retrieval.mmr_lambda-0.7,build.retrieval.top_k-7__5b686e8c/infer/test/best/79d8b34809bb/api/metrics.json",2026-05-13T13:51:55,7,0.7,,,,,,1251,0.274980015987,0.291071519017,0.279364308594,0.274416498677,0,0.31,0.360465116279,0.333333333333,0.307210031348,0.393574297189,0.345070422535,0.19465648855,0.242857142857,0.216101694915,0.262798634812,0.292775665399,0.276978417266,0.284263959391,0.235294117647,0.257471264367,0.3875,0.151219512195,0.217543859649
b3_mmr_topk_sweep_1024,"build.retrieval.mmr_lambda-0.7,build.retrieval.top_k-8__f1516068",test,best,79d8b34809bb,1,1,"/home/fenglin/project/fact-checking/outputs/runs/b3_mmr_topk_sweep_1024/build.retrieval.mmr_lambda-0.7,build.retrieval.top_k-8__f1516068","/home/fenglin/project/fact-checking/outputs/runs/b3_mmr_topk_sweep_1024/build.retrieval.mmr_lambda-0.7,build.retrieval.top_k-8__f1516068/infer/test/best/79d8b34809bb/api/metrics.json",2026-05-13T13:51:56,8,0.7,,,,,,1251,0.274980015987,0.278515433387,0.275364128205,0.267337326841,0,0.287128712871,0.337209302326,0.310160427807,0.282051282051,0.441767068273,0.344287949921,0.21768707483,0.152380952381,0.179271708683,0.261904761905,0.334600760456,0.293823038397,0.272727272727,0.176470588235,0.214285714285,0.349593495935,0.209756097561,0.262195121951
heuristic_lambda_mmr,33088d994dd4,test,best,79d8b34809bb,1,1,/home/fenglin/project/fact-checking/outputs/runs/heuristic_lambda_mmr/33088d994dd4,/home/fenglin/project/fact-checking/outputs/runs/heuristic_lambda_mmr/33088d994dd4/infer/test/best/79d8b34809bb/api/metrics.json,2026-05-14T12:54:23,5,0.7,,,,,,1251,0.27657873701,0.280514171339,0.292781034032,0.279905240209,0,0.267605633803,0.441860465116,0.333333333333,0.32380952381,0.273092369478,0.296296296296,0.216101694915,0.242857142857,0.228699551569,0.262686567164,0.334600760456,0.29431438127,0.26582278481,0.176470588235,0.212121212121,0.347058823529,0.287804878049,0.314666666666
mmr_sensitivity_gated,ts0p8_tr0p3_ll0p2_basic__9a7f2ee7,test,best,79d8b34809bb,1,1,/home/fenglin/project/fact-checking/outputs/runs/mmr_sensitivity_gated/ts0p8_tr0p3_ll0p2_basic__9a7f2ee7,/home/fenglin/project/fact-checking/outputs/runs/mmr_sensitivity_gated/ts0p8_tr0p3_ll0p2_basic__9a7f2ee7/infer/test/best/79d8b34809bb/api/metrics.json,2026-05-14T17:22:32,5,0.7,,0.8,0.3,0.2,basic,1251,0.274180655476,0.291765574852,0.287190134297,0.279483490943,0,0.280991735537,0.395348837209,0.328502415458,0.309803921569,0.317269076305,0.313492063492,0.205438066465,0.32380952381,0.251386321626,0.256880733945,0.212927756654,0.232848232848,0.285714285714,0.268907563025,0.277056277056,0.411764705882,0.20487804878,0.273615635179
mmr_topk_sweep_infer,"build.retrieval.mmr_lambda-0.7,build.retrieval.top_k-0__8283349c",test,best,98a1917c4eb9,1,2,"/home/fenglin/project/fact-checking/outputs/runs/mmr_topk_sweep_infer/build.retrieval.mmr_lambda-0.7,build.retrieval.top_k-0__8283349c","/home/fenglin/project/fact-checking/outputs/runs/mmr_topk_sweep_infer/build.retrieval.mmr_lambda-0.7,build.retrieval.top_k-0__8283349c/infer/test/best/98a1917c4eb9/api/metrics.json",2026-05-12T15:35:19,0,0.7,,,,,,1251,0.123101518785,0.166341467509,0.194351183815,0.088475236792,0,0.0960757780785,0.825581395349,0.172121212121,0.141826923077,0.236947791165,0.177443609022,0,0,0,0.15625,0.0190114068441,0.0338983050846,0.285714285714,0.0504201680672,0.085714285714,0.318181818182,0.0341463414634,0.0616740088104
mmr_topk_sweep_infer,"build.retrieval.mmr_lambda-0.7,build.retrieval.top_k-0__8283349c",test,best,9a002ceb9c81,2,2,"/home/fenglin/project/fact-checking/outputs/runs/mmr_topk_sweep_infer/build.retrieval.mmr_lambda-0.7,build.retrieval.top_k-0__8283349c","/home/fenglin/project/fact-checking/outputs/runs/mmr_topk_sweep_infer/build.retrieval.mmr_lambda-0.7,build.retrieval.top_k-0__8283349c/infer/test/best/9a002ceb9c81/api/metrics.json",2026-05-12T15:35:19,0,0.7,,,,,,1251,0.123101518785,0.166341467509,0.194351183815,0.088475236792,0,0.0960757780785,0.825581395349,0.172121212121,0.141826923077,0.236947791165,0.177443609022,0,0,0,0.15625,0.0190114068441,0.0338983050846,0.285714285714,0.0504201680672,0.085714285714,0.318181818182,0.0341463414634,0.0616740088104
mmr_topk_sweep_infer,"build.retrieval.mmr_lambda-0.7,build.retrieval.top_k-2__ab9ab486",test,best,7cefc941117a,1,2,"/home/fenglin/project/fact-checking/outputs/runs/mmr_topk_sweep_infer/build.retrieval.mmr_lambda-0.7,build.retrieval.top_k-2__ab9ab486","/home/fenglin/project/fact-checking/outputs/runs/mmr_topk_sweep_infer/build.retrieval.mmr_lambda-0.7,build.retrieval.top_k-2__ab9ab486/infer/test/best/7cefc941117a/api/metrics.json",2026-05-12T15:35:19,2,0.7,,,,,,1251,0.229416466827,0.241067052638,0.236613362732,0.225713514925,0,0.266666666667,0.325581395349,0.293193717277,0.283950617284,0.369477911647,0.321116928446,0.164086687307,0.252380952381,0.198874296435,0.188841201717,0.167300380228,0.177419354838,0.257142857143,0.226890756303,0.241071428571,0.285714285714,0.0780487804878,0.122605363984
mmr_topk_sweep_infer,"build.retrieval.mmr_lambda-0.7,build.retrieval.top_k-2__ab9ab486",test,best,ba745f87dcd7,2,2,"/home/fenglin/project/fact-checking/outputs/runs/mmr_topk_sweep_infer/build.retrieval.mmr_lambda-0.7,build.retrieval.top_k-2__ab9ab486","/home/fenglin/project/fact-checking/outputs/runs/mmr_topk_sweep_infer/build.retrieval.mmr_lambda-0.7,build.retrieval.top_k-2__ab9ab486/infer/test/best/ba745f87dcd7/api/metrics.json",2026-05-12T15:35:19,2,0.7,,,,,,1251,0.224620303757,0.233711942291,0.225926195262,0.21635384472,0,0.244680851064,0.267441860465,0.255555555555,0.284482758621,0.397590361446,0.331658291457,0.15923566879,0.238095238095,0.190839694656,0.185520361991,0.155893536122,0.169421487603,0.237442922374,0.218487394958,0.227571115973,0.290909090909,0.0780487804878,0.123076923077
